DSTC10TOPICAL-000000	Hmm I am not sure of that. He went to college for it?	Nope he just attended drama class in high school because that is where the pretty girls went	Hahaha the guy really knew what he was after even that early	Yes, he did. He was a good sport about it, but I felt bad for him.
DSTC10TOPICAL-001929	I heard it was really good, hes not my favorite superhero, but Id definitely see it also.	Do you read any other comic books?	No, never have read many of them. I miss out on a lot of back story that way.	Yeah ever year and then it is topped with the superbowl. Did you know bowlers used to make more than football players in teh 60s?
DSTC10TOPICAL-001930	I know! They sure do milk it for all its worth.	ESPN won an emmy for creating the superimposed yellow first down line on tv. That has been a good addition to watching games.	Yeah, that was a good addition. Can't believe that Benjarvus Green-Ellis never fumbled. Amazing!	If you want a job that makes more in a lifetime than an average nfl player or mlb player you can become an engineer
DSTC10TOPICAL-001931	Not really. I find they have too much CGI. What about you?	I like some of them like Spider-man. DO you know why there is a hyphen in the name?	I have no idea why. Why not just one word? Other superheroes have names like that.	Many of my friends growing up were big basketball and footballs fans. The highest paid state employee in 39 of the 50 states coaches one of those two states at the college level
DSTC10TOPICAL-001932	Hard to believe. I saw some pretty good jazz in New orleans once. Wasn't a huge fan but it is definitely popular. Apparently the trumpet players grow a goatee for comfort when playing.	Interesting. I also see that clint eastwood is an enthusiast.	I had no idea it was popular in Pakistan given that their jazz orchestra is topping the charts.	Wow, that's an interesting pick of songs, it's much more modern of a rock song than I'd imagine. I've been in coffee houses where they play both rock and jazz. It's nice. Have you?
DSTC10TOPICAL-001933	Yes they did. All came down to a stupid kick ha ha. Anyway, did you know that in the 60's top bowlers made more than top football players?	No I didn't know that, I always hear that most sports make more than nfl, which I think it's unfair.	I'm positive it's not the case now. Do you know what the highest score in a football game ever was?	No. Who is the main actor?
DSTC10TOPICAL-001934	I know right, only 11 minutes, last Superbowl was more than 3 hours long, maybe 4 all of that for only 11 minutes	All those advertisements make a lot of money for the NFL and the tickets are outrageous. I wonder if a woman will ever try to be eligible to play?	Theres no written rule against woman playing so yeah I think they could, its a physical sport though,	One Piece is great! You should look into it. It gets better after the first few chapters. And isn't that comic called Famous Funnies?
DSTC10TOPICAL-001935	bye	Bye.	see you	I would imagine unless the players are getting lots of endoresements or have a super long career they aren't bringing in the amounts of money that people think they are.
DSTC10TOPICAL-001936	Do you like concerts?	i do like concerts. I havent had much chance to do recently. You?	I like them, but only in outdoor arenas. Not so much the indoor stuff.	The movie was a breakthrough for its time. I don't know how many work-hours it took, but it was an accomplishment.
DSTC10TOPICAL-001937	They are the second largest search engine on the internet. I myself usually just google what I want to find and then it takes me to YouTube. The whole channels thing on YouTube confuses me.	Yeah, it can get quite confusing, do you also use Pandora Radio? I like that it also streams comedy and I use it on my way to the office.	I do have an account. Mostly I listen to NPR radio.	Hm not really, how big is it? Benjarvus was the only NFL player who never fumbled the ball
DSTC10TOPICAL-001938	wow, I didnt know an illness could cause that. Look how far he came in life! what is it due to?	Yes He did very well in his career. And they had the best selling album of the 2000's	WHAT? that is so awesome. I wonder when they released their last song, do you know?	Yea, I wonder if Lou Ferrigno watched any of the movies where he voiced the Hulk
DSTC10TOPICAL-001939	I guess that's the idea. I can't imagine it really working or everyone would do it.	Yeah I think it must be more of a tradition now, I doubt a color would really affect another team's performance.	The highest score ever in a football game occurred in 1916 when Georgia tech defeated Cumberland 222-0. Would pink locker rooms have helped Cumberland, do you think?	To Nadal?
DSTC10TOPICAL-001940	yeah, i bet the simpsons liked that. the simpsons has had trouble maintaining its quality over the last few years. i think that comedy is quite difficult.	Yea I stopped watching years ago. Apparently one episode in the whole series did not have bart in it or mention him. I want to watch that episode	i wonder what the episode was about. that is odd. the simpsons has great voice talent.	True. Historians will have a lot to sift through. If only there were a fair way to sort it all ... Good talking with you.
DSTC10TOPICAL-001941	Well perhaps you can find a short version that only shows the live gameplay. Each game is only a dozen or so minutes long of real gameplay	That's another reason why I don't watch football, three hours in front of the television for just 12 minutes of actual action. I could just grab my Bible instead.	Do you read from the bible often?	American football. Were you aware that in the 60's top bowlers made more than top football players? I can't imagine that now.
DSTC10TOPICAL-001942	That should be fun for real. Did you know women can play in the NFL?	Yes as long as they meet the requirements. I wonder if any of them have tried	Curious about that too. Maybe they are sticking to engineering careers	Hey you do any fantasy football? What do you think about Berkley
DSTC10TOPICAL-001943	that's sad considering how amazing his movies were	The Academy has a lot of politics. He made the wrong kinds of films. His wife got an award.	What did she get an award for?	I know I wonder how they felt after that
